product_id,product_name,category,sub_category,total_sales,total_profit
TEC-CO-10004722,Canon imageCLASS 2200 Advanced Copier,Technology,Copiers,61599.82,25199.93
OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders,27453.38,7753.04
TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Technology,Copiers,18839.69,6983.88
TEC-CO-10003763,Canon PC1060 Personal Laser Copier,Technology,Copiers,11619.83,4570.93
TEC-AC-10002049,Logitech G19 Programmable Gaming Keyboard,Technology,Accessories,13756.54,4425.34
TEC-MA-10001127,"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",Technology,Machines,18374.9,4094.98
TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Technology,Machines,7699.89,3772.95
TEC-MA-10001047,"3D Systems Cube Printer, 2nd Generation, Magenta",Technology,Machines,14299.89,3717.97
OFF-BI-10001120,Ibico EPK-21 Electric Binding System,Office Supplies,Binders,15875.92,3345.28
TEC-MA-10000045,Zebra ZM400 Thermal Label Printer,Technology,Machines,6965.7,3343.54
